0 | 0 | 0 | 0 | 0%

Layout | Weights | Adjusted

N N N | 0 0 0 | 0 0 0
R N N | 0 0 0 | 0 0 0
R R N | 0 0 0 | 0 0 0
R P N | 0 0 0 | 0 0 0
R S N | 0 0 0 | 0 0 0
P N N | 0 0 0 | 0 0 0
P R N | 0 0 0 | 0 0 0
P P N | 0 0 0 | 0 0 0
P S N | 0 0 0 | 0 0 0
S N N | 0 0 0 | 0 0 0
S R N | 0 0 0 | 0 0 0
S P N | 0 0 0 | 0 0 0
S S N | 0 0 0 | 0 0 0
R R R | 0 0 0 | 0 0 0
R R P | 0 0 0 | 0 0 0
R R S | 0 0 0 | 0 0 0
R P R | 0 0 0 | 0 0 0
R P P | 0 0 0 | 0 0 0
R P S | 0 0 0 | 0 0 0
R S R | 0 0 0 | 0 0 0
R S P | 0 0 0 | 0 0 0
R S S | 0 0 0 | 0 0 0
P R R | 0 0 0 | 0 0 0
P R P | 0 0 0 | 0 0 0
P R S | 0 0 0 | 0 0 0
P P R | 0 0 0 | 0 0 0
P P P | 0 0 0 | 0 0 0
P P S | 0 0 0 | 0 0 0
P S R | 0 0 0 | 0 0 0
P S P | 0 0 0 | 0 0 0
P S S | 0 0 0 | 0 0 0
S R R | 0 0 0 | 0 0 0
S R P | 0 0 0 | 0 0 0
S R S | 0 0 0 | 0 0 0
S P R | 0 0 0 | 0 0 0
S P P | 0 0 0 | 0 0 0
S P S | 0 0 0 | 0 0 0
S S R | 0 0 0 | 0 0 0
S S P | 0 0 0 | 0 0 0
S S S | 0 0 0 | 0 0 0

1 1 1 | 0 0 0 | 0 0 0
1 1 2 | 0 0 0 | 0 0 0
1 1 3 | 0 0 0 | 0 0 0
1 2 1 | 0 0 0 | 0 0 0
1 2 2 | 0 0 0 | 0 0 0
1 2 3 | 0 0 0 | 0 0 0
1 3 1 | 0 0 0 | 0 0 0
1 3 2 | 0 0 0 | 0 0 0
1 3 3 | 0 0 0 | 0 0 0
